IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
47.239.51.97,443,443,true,HKG,Asia Pacific,HK,Hong Kong,37,16.30
43.198.207.3,2087,2087,true,HKG,Asia Pacific,HK,Hong Kong,34,13.72
46.3.109.215,7443,443,true,HKG,Asia Pacific,HK,Hong Kong,34,13.70
103.148.72.147,1443,443,true,HKG,Asia Pacific,HK,Hong Kong,58,13.62
103.30.77.166,2086,2086,false,HKG,Asia Pacific,HK,Hong Kong,59,13.17
38.147.170.233,12463,443,true,HKG,Asia Pacific,HK,Hong Kong,35,9.67
83.229.123.36,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,58,8.72
38.207.129.34,35333,443,true,HKG,Asia Pacific,HK,Hong Kong,170,6.21
103.235.18.96,12317,443,true,HKG,Asia Pacific,HK,Hong Kong,29,4.78
38.22.88.199,18026,443,true,HKG,Asia Pacific,HK,Hong Kong,34,2.74
103.112.185.138,587,443,true,HKG,Asia Pacific,HK,Hong Kong,33,2.17
59.188.46.218,10028,443,true,HKG,Asia Pacific,HK,Hong Kong,189,2.00
103.30.77.220,2086,2086,false,HKG,Asia Pacific,HK,Hong Kong,63,1.80
38.38.251.220,443,443,true,HKG,Asia Pacific,HK,Hong Kong,58,1.48
18.167.37.206,443,443,true,HKG,Asia Pacific,HK,Hong Kong,64,1.30
103.30.77.220,2096,2096,true,HKG,Asia Pacific,HK,Hong Kong,58,1.20
47.76.35.146,80,443,true,HKG,Asia Pacific,HK,Hong Kong,37,1.08
47.76.130.197,60001,443,true,HKG,Asia Pacific,HK,Hong Kong,28,1.04
8.218.69.41,9998,443,true,HKG,Asia Pacific,HK,Hong Kong,34,1.00
47.57.13.107,443,443,true,HKG,Asia Pacific,HK,Hong Kong,41,0.82
154.88.31.66,587,443,true,HKG,Asia Pacific,HK,Hong Kong,29,0.79
18.163.126.157,18443,443,true,HKG,Asia Pacific,HK,Hong Kong,55,0.76
47.76.104.12,587,443,true,HKG,Asia Pacific,HK,Hong Kong,32,0.74
8.218.152.147,587,443,true,HKG,Asia Pacific,HK,Hong Kong,34,0.55
8.218.110.219,8447,443,true,HKG,Asia Pacific,HK,Hong Kong,35,0.54
103.103.245.188,30001,443,true,HKG,Asia Pacific,HK,Hong Kong,36,0.50
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,32,0.48
47.238.105.180,12198,443,true,HKG,Asia Pacific,HK,Hong Kong,34,0.48
47.238.66.74,587,443,true,HKG,Asia Pacific,HK,Hong Kong,39,0.46
219.76.13.180,443,443,true,HKG,Asia Pacific,HK,Hong Kong,40,0.44
202.181.27.218,14526,443,true,HKG,Asia Pacific,HK,Hong Kong,189,0.42
47.76.215.70,80,80,false,HKG,Asia Pacific,HK,Hong Kong,37,0.41
47.76.215.70,443,443,true,HKG,Asia Pacific,HK,Hong Kong,37,0.32
43.128.26.74,443,443,true,HKG,Asia Pacific,HK,Hong Kong,41,0.32
35.241.78.80,443,443,true,HKG,Asia Pacific,HK,Hong Kong,209,0.31
47.243.254.159,587,443,true,HKG,Asia Pacific,HK,Hong Kong,30,0.15
47.243.237.160,443,443,true,HKG,Asia Pacific,HK,Hong Kong,32,0.12
165.154.43.92,35184,443,true,HKG,Asia Pacific,HK,Hong Kong,44,0.11
206.237.22.91,548,443,true,HKG,Asia Pacific,HK,Hong Kong,43,0.07
43.135.44.101,30002,443,true,HKG,Asia Pacific,HK,Hong Kong,34,0.06
165.154.41.48,443,443,true,HKG,Asia Pacific,HK,Hong Kong,47,0.06
165.154.3.241,4431,443,true,HKG,Asia Pacific,HK,Hong Kong,39,0.03
47.243.138.97,587,443,true,HKG,Asia Pacific,HK,Hong Kong,101,0.03
8.210.142.146,12346,443,true,HKG,Asia Pacific,HK,Hong Kong,91,0.03
8.210.96.197,12902,443,true,HKG,Asia Pacific,HK,Hong Kong,92,0.02
43.154.34.74,1935,443,true,HKG,Asia Pacific,HK,Hong Kong,38,0.02
141.11.217.127,80,80,false,HKG,Asia Pacific,HK,Hong Kong,54,0.01
206.237.22.91,449,443,true,HKG,Asia Pacific,HK,Hong Kong,41,0.01
43.155.30.252,443,443,true,HKG,Asia Pacific,HK,Hong Kong,34,0.00
