IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
47.76.72.167,34422,443,true,SIN,Asia Pacific,SG,Singapore,32,15.80
54.255.179.30,2083,443,true,SIN,Asia Pacific,SG,Singapore,77,7.77
158.180.83.87,443,443,true,SIN,Asia Pacific,SG,Singapore,131,5.47
158.180.92.191,443,443,true,SIN,Asia Pacific,SG,Singapore,136,4.34
193.123.166.224,443,443,true,SIN,Asia Pacific,SG,Singapore,243,3.84
144.24.88.118,443,443,true,SIN,Asia Pacific,SG,Singapore,136,3.34
146.56.174.125,443,443,true,SIN,Asia Pacific,SG,Singapore,141,3.20
54.254.52.56,443,443,true,SIN,Asia Pacific,SG,Singapore,68,2.27
13.228.155.72,443,443,true,SIN,Asia Pacific,SG,Singapore,64,1.22
8.219.101.198,443,443,true,SIN,Asia Pacific,SG,Singapore,62,0.92
3.1.116.161,2053,443,true,SIN,Asia Pacific,SG,Singapore,66,0.88
146.56.137.103,443,443,true,SIN,Asia Pacific,SG,Singapore,169,0.63
131.186.37.182,443,443,true,SIN,Asia Pacific,SG,Singapore,123,0.60
13.229.159.215,443,443,true,SIN,Asia Pacific,SG,Singapore,70,0.50
13.228.142.218,443,443,true,SIN,Asia Pacific,SG,Singapore,73,0.34
8.219.169.154,443,443,true,SIN,Asia Pacific,SG,Singapore,102,0.29
43.216.228.247,443,443,true,SIN,Asia Pacific,SG,Singapore,117,0.27
47.245.95.160,1443,443,true,SIN,Asia Pacific,SG,Singapore,67,0.26
54.151.201.171,443,443,true,SIN,Asia Pacific,SG,Singapore,66,0.25
47.129.10.126,443,443,true,SIN,Asia Pacific,SG,Singapore,57,0.23
13.229.18.246,10210,443,true,SIN,Asia Pacific,SG,Singapore,63,0.23
52.74.101.26,443,443,true,SIN,Asia Pacific,SG,Singapore,65,0.22
52.76.110.129,20001,443,true,SIN,Asia Pacific,SG,Singapore,60,0.18
54.169.229.188,443,443,true,SIN,Asia Pacific,SG,Singapore,62,0.17
47.129.215.163,443,443,true,SIN,Asia Pacific,SG,Singapore,73,0.16
54.169.65.225,443,443,true,SIN,Asia Pacific,SG,Singapore,68,0.14
3.0.50.69,443,443,true,SIN,Asia Pacific,SG,Singapore,64,0.12
172.93.165.228,443,443,true,SIN,Asia Pacific,SG,Singapore,57,0.09
47.74.254.191,8900,443,true,SIN,Asia Pacific,SG,Singapore,64,0.09
43.156.181.203,443,443,true,SIN,Asia Pacific,SG,Singapore,202,0.07
8.222.159.134,12314,443,true,SIN,Asia Pacific,SG,Singapore,65,0.05
8.222.165.104,443,443,true,SIN,Asia Pacific,SG,Singapore,66,0.04
8.222.192.60,30021,443,true,SIN,Asia Pacific,SG,Singapore,64,0.03
47.236.60.3,443,443,true,SIN,Asia Pacific,SG,Singapore,62,0.00
13.250.131.37,443,0,true,SIN,Asia Pacific,SG,Singapore,57,0.00
